Date,Address,lat,lon,Killed,Injured,Content
2014-08-10,"16300 block of Heather Glen Road , Moreno Valley, California",33.883616,-117.2217604,0,7,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>16300 block of Heather Glen Road , Moreno Valley, California"
2014-08-10,"N Street SW, Washington, District of Columbia",38.8746445,-77.0157117,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>N Street SW, Washington, District of Columbia"
2014-08-09,"400 3rd Ave N, Minneapolis, Minnesota",44.9828835,-93.2751811,1,8,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>8<br/><b>Location: </b>400 3rd Ave N, Minneapolis, Minnesota"
2014-08-08,"3000 block of N. 28th Street , Milwaukee, Wisconsin",43.0735079,-87.9483186,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>3000 block of N. 28th Street , Milwaukee, Wisconsin"
2014-08-08,"Second Street and Todd Place NE, Washington, District of Columbia",38.9078812,-77.0321701,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Second Street and Todd Place NE, Washington, District of Columbia"
2014-08-08,"3426 Vassar NE, Albuquerque, New Mexico",35.1194254,-106.614901,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>3426 Vassar NE, Albuquerque, New Mexico"
2014-08-06,"1700 block of Quincy Street , Bakersfield, California",35.3816327,-118.9741484,3,1,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>1700 block of Quincy Street , Bakersfield, California"
2014-08-04,"1100 block of Joseph E. Boone Boulevard NW, Atlanta, Georgia",33.763481,-84.4235341,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>1100 block of Joseph E. Boone Boulevard NW, Atlanta, Georgia"
2014-08-03,"3403 FM 1960, Humble, Texas",30.01948,-95.3758085,0,7,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>3403 FM 1960, Humble, Texas"
2014-08-03,"5200 block of Thekla , Saint Louis, Missouri",38.6904392,-90.2433765,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>5200 block of Thekla , Saint Louis, Missouri"
2014-08-03,"4400 block of Rixeyville Road, Culpeper, Virginia",38.6393852,-77.9331557,5,0,"<b>Date: </b>NA<br/><b>Killed: </b>5<br/><b>Injured: </b>0<br/><b>Location: </b>4400 block of Rixeyville Road, Culpeper, Virginia"
